customer_id,first_name,last_name,genger,birth_date,phone_number,email,discount
10,Yurij,Mazurenko,M,1991-02-28,380364455541,YurijMazurenko@mail.com,7
36,Yevheniya,Morhun,F,1975-09-11,380478255582,YevheniyaMorhun@mail.com,20
40,Ivan,Movchan,M,1989-03-17,380395559606,IvanMovchan@mail.com,27
62,Dmytro,Movchan,M,1995-08-25,380354455502,DmytroMovchan@mail.com,35
54,Eduard,Movchan,M,1986-06-22,380573455590,EduardMovchan@mail.com,8
56,Leonid,Musiyenko,M,1991-06-06,380638555820,LeonidMusiyenko@mail.com,25
18,Yevhen,Naumenko,M,1978-01-13,380395550109,YevhenNaumenko@mail.com,15
72,Afanasij,Naumenko,M,1973-08-06,380505559583,AfanasijNaumenko@mail.com,24
47,Vladyslava,Naumenko,F,1989-12-13,380582455577,VladyslavaNaumenko@mail.com,25
3,Yuliya,Nazarenko,F,1981-12-12,380473155568,YuliyaNazarenko@mail.com,25
100,Roman,Olijnyk,M,1976-03-31,380635550290,RomanOlijnyk@mail.com,35
81,Olesya,Omelchuk,F,1993-04-21,380635553735,OlesyaOmelchuk@mail.com,24
25,Yeva,Parkhomenko,F,1998-07-28,380505553585,YevaParkhomenko@mail.com,30
7,Oleksandra,Petruk,F,1980-10-29,380395559464,OleksandraPetruk@mail.com,21
70,Valentyna,Petruk,F,1981-11-10,380282655503,ValentynaPetruk@mail.com,8
50,Anzhela,Ponomarenko,F,1971-02-09,380505557748,AnzhelaPonomarenko@mail.com,23
39,Anton,Ponomarenko,M,1986-06-09,380395555720,AntonPonomarenko@mail.com,17
37,Taras,Ponomarenko,M,1976-03-14,380395556584,TarasPonomarenko@mail.com,22
13,Hryhorij,Prykhodko,M,1992-11-08,380566955542,HryhorijPrykhodko@mail.com,24
30,Vsevolod,Romanenko,M,1980-03-16,380452155562,VsevolodRomanenko@mail.com,32
51,Rostyslav,Rudenko,M,1973-05-24,380195555550,RostyslavRudenko@mail.com,8
90,Yana,Savenko,F,1994-01-02,380395556307,YanaSavenko@mail.com,12
42,Ulyana,Sayenko,F,1984-05-09,380395554330,UlyanaSayenko@mail.com,12
35,Tayisiya,Serdyuk,F,2001-01-04,380267655559,TayisiyaSerdyuk@mail.com,30
79,Svyatoslav,Serdyuk,M,2000-04-12,380123055564,SvyatoslavSerdyuk@mail.com,24
26,Mykyta,Shevchenko,M,1973-12-29,380395550365,MykytaShevchenko@mail.com,9
6,Eduard,Shirman,M,1995-10-11,380395550058,EduardShirman@mail.com,22
5,Artem,Shirman,M,1974-11-15,380395550941,ArtemShirman@mail.com,11
23,Serhij,Shynkarenko,M,1974-08-29,380395552922,SerhijShynkarenko@mail.com,35
63,Ulyana,Slobodyan,F,1978-11-21,380395556052,UlyanaSlobodyan@mail.com,9
34,Ivanna,Slobodyan,F,1975-03-08,380395553711,IvannaSlobodyan@mail.com,12
67,Taras,Solovej,M,1971-02-10,380505558457,TarasSolovej@mail.com,13
97,Liliya,Stepanenko,F,1985-04-28,380161055526,LiliyaStepanenko@mail.com,34
64,Kseniya,Tarasyuk,F,1981-11-15,380395555811,KseniyaTarasyuk@mail.com,25
43,Yukhym,Tarasyuk,M,1997-04-05,380595655581,YukhymTarasyuk@mail.com,8
12,Oksana,Tokar,F,1987-10-21,380635553472,OksanaTokar@mail.com,30
94,Eduard,Usenko,M,1983-01-26,380505552124,EduardUsenko@mail.com,9
55,Volodymyr,Valenyuk,M,1989-12-19,380395553262,VolodymyrValenyuk@mail.com,11
28,Roman,Valenyuk,M,1997-11-17,380635553472,RomanValenyuk@mail.com,28
95,Anastasiya,Velychko,F,1988-03-31,380635550112,AnastasiyaVelychko@mail.com,29
20,Stanislava,Vlasyuk,F,1992-05-09,380505559725,StanislavaVlasyuk@mail.com,15
98,Stanislav,Voloshchuk,M,1970-04-05,380635553726,StanislavVoloshchuk@mail.com,31
15,Danylo,Yakymenko,M,1976-06-16,380505551798,DanyloYakymenko@mail.com,27
75,Halyna,Yatsenko,F,1996-11-02,380395557364,HalynaYatsenko@mail.com,18
27,Antonina,Yatsenko,F,1995-05-17,380635555580,AntoninaYatsenko@mail.com,6
84,Hanna,Yevtushenko,F,1988-08-18,380395552481,HannaYevtushenko@mail.com,7
57,Myron,Yevtushenko,M,1987-01-27,380395552131,MyronYevtushenko@mail.com,10
